source_doc_id,date,sentence,found_term,accompanying_terms,zs_base_label,zs_base_score,zs_syn_label,zs_syn_score
151,2012-08-15 14:00:00,"I want to say some words in particular to the coaches, to all of those who spent these long years developing and polishing our athletes’ talents and leading you to triumph.",polish,[],partner,0.7808094620704651,ally,0.8934000134468079
165,2012-09-02 15:30:00,"His name was given to a successful operation our troops conducted during the Great Patriotic War, which liberated Belarus and part of Lithuania and Poland.",poland,[],partner,0.8544391393661499,ally,0.7988976836204529
318,2012-12-20 16:40:00,"When such events are held, they unite us with the entire civilised world including Poland.",poland,[],partner,0.9376121759414673,ally,0.8952152729034424
318,2012-12-20 16:40:00,"I want to thank Polish people for not forgetting the history, for the fact that such events are being held and organised.",polish,[],partner,0.9222628474235535,ally,0.8645058870315552
318,2012-12-20 16:40:00,My understanding was that a very constructive professional communication was established between the Polish and Russian investigators.,polish,[],partner,0.932651162147522,ally,0.8385802507400513
318,2012-12-20 16:40:00,We mourn together with the Polish people.,polish,[],partner,0.9756271839141846,ally,0.8949233889579773
318,2012-12-20 16:40:00,"The weather conditions were bad, the first pilot of the Polish plane that had landed two hours prior had warned the first pilot of that following presidential plane that he should not come, that the landing conditions were unsafe, but they still flew out.",polish,[],partner,0.8362717032432556,adversary,0.49173498153686523
318,2012-12-20 16:40:00,"But naturally, we must attain an absolutely objective answer to all the questions from our side and from the Polish people.",polish,[],partner,0.8360913395881653,ally,0.45882487297058105
396,2013-02-27 13:45:00,This is all the more important now that we have reached the stage of polishing and fine-tuning the many components in this complex military machine.,polish,[],partner,0.8193145394325256,ally,0.4982670843601227
448,2013-04-03 18:30:00,"This project would increase reliability of gas supplies to Poland, Slovakia, and Hungary.",poland,[],partner,0.9591241478919983,ally,0.7577795386314392
448,2013-04-03 18:30:00,I understand that if this project goes ahead it would put an end to the concerns our Polish friends have had and would also ensure more reliable supplies to Hungary and Slovakia.,polish,[],partner,0.9284470677375793,ally,0.7145227193832397
481,2013-04-25 16:50:00,"We had our own pharmaceutical products but there weren’t many of them and we imported a lot of medicines from Eastern Europe: we had drugs from Yugoslavia, Poland… There are still quite a lot of Indian generics on the market.",poland,[],partner,0.8816415071487427,ally,0.5435279011726379
805,2013-11-28 14:00:00,"Still, as I already said, and you confirmed, there are some things that must be completed and polished.",polish,[],partner,0.4676814079284668,ally,0.41984501481056213
819,2013-12-05 17:00:00,"In Kaliningrad say, there is a whole generation now, many teenagers and young people, who have been numerous times to Poland or Germany, but have never visited anywhere in Russia outside Kaliningrad Region.",poland,[],partner,0.7766260504722595,ally,0.6171608567237854
910,2014-03-04 15:40:00,"I would like to draw your attention to the fact that President Yanukovych, through the mediation of the Foreign Ministers of three European countries – Poland, Germany and France – and in the presence of my representative (this was the Russian Human Rights Commissioner Vladimir Lukin) signed an agreement with the opposition on February 21.",poland,[],partner,0.8632798790931702,ally,0.633048415184021
910,2014-03-04 15:40:00,"As we all know they were trained at special bases in neighbouring states: in Lithuania, Poland and in Ukraine itself too.",poland,[],partner,0.9269492626190186,ally,0.6651822328567505
