date,tags
2012-05-08 16:00:00,State_Governance_Public_Service
2012-05-09 11:00:00,Security_Defense_Enforcement
2012-05-10 14:00:00,State_Governance_Public_Service
2012-05-11 13:00:00,Sport_Tourism_Media
2012-05-11 16:00:00,International_Relations_Global_Organizations
2012-05-11 17:00:00,International_Relations_Global_Organizations
2012-05-12 14:30:00,International_Relations_Global_Organizations
2012-05-14 13:15:00,Macroeconomics_Fiscal_Policy
2012-05-14 13:15:00,Justice_Anti-Corruption_Rights
2012-05-14 14:15:00,Science_IT_Space
2012-05-14 14:15:00,Macroeconomics_Fiscal_Policy
2012-05-15 12:50:00,State_Governance_Public_Service
2012-05-15 17:00:00,International_Relations_Global_Organizations
2012-05-15 18:00:00,International_Relations_Global_Organizations
2012-05-15 18:50:00,International_Relations_Global_Organizations
2012-05-15 19:40:00,International_Relations_Global_Organizations
2012-05-15 20:30:00,International_Relations_Global_Organizations
2012-05-18 14:30:00,State_Governance_Public_Service
2012-05-18 18:45:00,Science_IT_Space
2012-05-18 18:45:00,Infrastructure_Housing_Construction
2012-05-19 13:30:00,State_Governance_Public_Service
2012-05-19 13:30:00,Security_Defense_Enforcement
2012-05-21 14:00:00,State_Governance_Public_Service
2012-05-21 15:15:00,State_Governance_Public_Service
2012-05-21 16:30:00,Sport_Tourism_Media
2012-05-22 14:30:00,Science_IT_Space
2012-05-22 14:30:00,Macroeconomics_Fiscal_Policy
2012-05-22 15:30:00,Security_Defense_Enforcement
2012-05-22 15:30:00,State_Governance_Public_Service
2012-05-23 16:15:00,State_Governance_Public_Service
2012-05-24 15:30:00,Business_Special_Development
2012-05-24 15:30:00,Infrastructure_Housing_Construction
2012-05-24 15:30:00,State_Governance_Public_Service
2012-05-24 18:30:00,Culture_Identity_History
2012-05-25 17:00:00,Natural_Resources_Primary_Industries_Environment
2012-05-25 20:30:00,State_Governance_Public_Service
2012-05-26 14:00:00,State_Governance_Public_Service
2012-05-26 15:00:00,International_Relations_Global_Organizations
2012-05-28 12:40:00,Social_Welfare_Health
2012-05-29 12:15:00,International_Relations_Global_Organizations
2012-05-29 19:00:00,Sport_Tourism_Media
2012-05-30 16:00:00,Security_Defense_Enforcement
2012-05-30 18:30:00,Security_Defense_Enforcement
2012-05-31 14:30:00,Sport_Tourism_Media
2012-05-31 21:00:00,International_Relations_Global_Organizations
2012-05-31 22:15:00,International_Relations_Global_Organizations
2012-05-31 22:45:00,International_Relations_Global_Organizations
2012-06-01 17:00:00,International_Relations_Global_Organizations
2012-06-01 23:30:00,International_Relations_Global_Organizations
2012-06-02 13:30:00,Social_Welfare_Health
2012-06-02 13:30:00,State_Governance_Public_Service
2012-06-04 21:45:00,International_Relations_Global_Organizations
2012-06-05 02:00:00,International_Relations_Global_Organizations
2012-06-05 16:00:00,International_Relations_Global_Organizations
2012-06-06 10:15:00,International_Relations_Global_Organizations
2012-06-06 11:30:00,International_Relations_Global_Organizations
2012-06-06 12:15:00,International_Relations_Global_Organizations
2012-06-06 13:30:00,International_Relations_Global_Organizations
2012-06-07 08:00:00,International_Relations_Global_Organizations
2012-06-07 11:30:00,International_Relations_Global_Organizations
2012-06-07 12:00:00,International_Relations_Global_Organizations
2012-06-07 20:00:00,International_Relations_Global_Organizations
2012-06-07 20:15:00,International_Relations_Global_Organizations
2012-06-07 20:30:00,International_Relations_Global_Organizations
2012-06-08 19:00:00,Justice_Anti-Corruption_Rights
2012-06-09 12:30:00,State_Governance_Public_Service
2012-06-09 13:30:00,Culture_Identity_History
2012-06-12 13:00:00,State_Governance_Public_Service
2012-06-13 13:00:00,Macroeconomics_Fiscal_Policy
2012-06-13 13:00:00,Security_Defense_Enforcement
2012-06-13 15:30:00,Social_Welfare_Health
2012-06-14 16:30:00,State_Governance_Public_Service
2012-06-14 16:30:00,Security_Defense_Enforcement
2012-06-14 16:45:00,Security_Defense_Enforcement
2012-06-14 17:30:00,Security_Defense_Enforcement
2012-06-14 18:00:00,Security_Defense_Enforcement
2012-06-18 15:00:00,International_Relations_Global_Organizations
2012-06-18 15:00:00,Macroeconomics_Fiscal_Policy
2012-06-18 23:15:00,International_Relations_Global_Organizations
2012-06-19 00:05:00,International_Relations_Global_Organizations
2012-06-19 00:55:00,International_Relations_Global_Organizations
2012-06-19 06:00:00,International_Relations_Global_Organizations
2012-06-19 09:00:00,International_Relations_Global_Organizations
2012-06-20 02:30:00,International_Relations_Global_Organizations
2012-06-20 02:45:00,International_Relations_Global_Organizations
2012-06-21 15:00:00,International_Relations_Global_Organizations
2012-06-21 15:00:00,Macroeconomics_Fiscal_Policy
2012-06-21 18:50:00,International_Relations_Global_Organizations
2012-06-21 20:15:00,Macroeconomics_Fiscal_Policy
2012-06-21 20:45:00,Natural_Resources_Primary_Industries_Environment
2012-06-22 16:40:00,International_Relations_Global_Organizations
2012-06-22 19:00:00,International_Relations_Global_Organizations
2012-06-25 14:00:00,International_Relations_Global_Organizations
2012-06-25 14:00:00,Culture_Identity_History
2012-06-25 18:00:00,International_Relations_Global_Organizations
2012-06-25 20:30:00,International_Relations_Global_Organizations
2012-06-25 21:30:00,International_Relations_Global_Organizations
2012-06-26 14:30:00,International_Relations_Global_Organizations
2012-06-26 17:00:00,International_Relations_Global_Organizations
2012-06-26 17:00:00,Culture_Identity_History
2012-06-26 21:30:00,Culture_Identity_History
2012-06-26 21:30:00,International_Relations_Global_Organizations
2012-06-26 22:30:00,International_Relations_Global_Organizations
2012-06-27 14:30:00,State_Governance_Public_Service
2012-06-28 13:00:00,Security_Defense_Enforcement
2012-06-28 14:00:00,Macroeconomics_Fiscal_Policy
2012-06-29 15:30:00,Culture_Identity_History
2012-07-02 17:00:00,International_Relations_Global_Organizations
2012-07-02 17:00:00,Security_Defense_Enforcement
2012-07-03 12:30:00,Security_Defense_Enforcement
2012-07-09 14:30:00,International_Relations_Global_Organizations
2012-07-10 14:00:00,Natural_Resources_Primary_Industries_Environment
2012-07-11 16:00:00,Education_Personnel
2012-07-11 16:00:00,Science_IT_Space
2012-07-11 16:00:00,Social_Welfare_Health
2012-07-11 18:00:00,International_Relations_Global_Organizations
2012-07-12 19:00:00,International_Relations_Global_Organizations
2012-07-16 20:30:00,Infrastructure_Housing_Construction
2012-07-16 20:30:00,State_Governance_Public_Service
2012-07-17 17:00:00,International_Relations_Global_Organizations
2012-07-18 14:30:00,Security_Defense_Enforcement
2012-07-18 18:30:00,International_Relations_Global_Organizations
2012-07-18 18:50:00,International_Relations_Global_Organizations
2012-07-19 13:50:00,International_Relations_Global_Organizations
2012-07-19 13:50:00,State_Governance_Public_Service
2012-07-19 14:30:00,International_Relations_Global_Organizations
2012-07-19 17:30:00,International_Relations_Global_Organizations
2012-07-19 17:30:00,Macroeconomics_Fiscal_Policy
2012-07-19 19:00:00,State_Governance_Public_Service
2012-07-20 16:30:00,Macroeconomics_Fiscal_Policy
2012-07-21 12:10:00,Sport_Tourism_Media
2012-07-23 14:30:00,International_Relations_Global_Organizations
2012-07-23 19:00:00,International_Relations_Global_Organizations
2012-07-24 23:00:00,International_Relations_Global_Organizations
2012-07-24 23:00:00,Macroeconomics_Fiscal_Policy
